,Parameter,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15
total_volume_mL,metadata,37,30,29,29,24,27,41,29,23,1.6,1.8,26,25.5,23,28
Dilution_factor,metadata,10,10,10,10,20,3,3,3,10,10,10,3,4,3,2
squares_counted,metadata,12,7,20,12,13,16,25,10,8,10,10,6,7,16,9
Actinoptychus,diatom,5,0,11,1,1,1,1,3,0,2,0,4,3,1,0
Asteromphalus_sarcophagus,diatom,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Asteromphalus_circular_60um,diatom,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0
Bacteriastrum,diatom,20,14,0,1,0,0,0,0,0,0,4,0,0,0,0
Cerataulina,diatom,5,0,2,0,0,0,0,0,0,0,1,0,0,5,2
Chaetoceros socialis,diatom,23,4,17,16,0,1,0,0,0,0,0,0,0,0,0
Chaetoceros_affinis-atlanticus,diatom,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0
Chaetoceros_decipien,diatom,1,6,0,0,0,0,0,0,0,0,1,0,0,5,0
Chaetoceros_didymus,diatom,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Chaetoceros_concavicornus,diatom,3,0,11,2,49,14,0,11,14,0,1,21,18,0,0
Centric_large,diatom,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
Centric_medium,diatom,24,28,34,12,2,6,8,6,3,10,5,7,4,1,0
Centric_small,diatom,0,17,74,33,24,18,30,23,25,26,19,16,18,23,22
Corethron,diatom,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cylindrotheca,diatom,2,2,2,0,0,0,1,0,1,1,0,0,0,2,0
Dactyosolen,diatom,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphineis,diatom,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0
Detonula,diatom,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ditylum,diatom,5,23,0,0,2,2,1,0,0,0,2,0,0,0,0
Eucampia,diatom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fragilariopsis_doliolus,diatom,8,3,0,3,0,1,10,6,5,9,7,0,4,3,12
Fragilariopsis_small_rounded,diatom,3,3,10,8,8,4,5,23,33,3,0,14,10,4,6
Fragilariopsis_large_rounded,diatom,0,0,0,0,3,2,1,0,0,0,1,0,9,1,2
Fragilariopsis_pennate,diatom,0,3,1,0,0,1,3,8,0,1,1,8,0,0,2
Guinardia,diatom,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Hemidiscus,diatom,1,0,2,0,0,0,0,3,0,0,0,0,0,1,2
Rhizosolenia_large,diatom,4,2,2,0,0,2,0,4,0,3,1,0,0,0,0
Rhizosolenia_medium,diatom,2,1,1,0,0,2,0,4,1,4,3,0,0,4,0
Rhizosolenia_small,diatom,5,5,1,0,0,0,0,4,6,1,1,0,0,0,0
Skeletonema,diatom,53,142,75,16,2,0,0,0,0,0,3,0,0,0,0
Thalassiosira_aestivalis,diatom,15,35,6,0,0,0,2,0,0,2,0,0,0,0,0
Thalassiosira_rotula,diatom,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassionema,diatom,13,27,14,7,15,3,0,4,3,5,8,0,2,5,2
Thalassiothrix,diatom,1,1,1,1,0,0,0,0,1,3,1,0,0,0,0
Leptocylindrus,diatom,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Lioloma_pacificum,diatom,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0
Neodelpheis,diatom,2,0,0,0,0,0,11,1,0,0,0,0,0,0,0
Nitzschia_bicapitata,diatom,6,7,13,7,8,14,10,18,12,5,2,0,0,6,6
Nitzschia_medium,diatom,0,0,23,7,5,3,4,2,15,2,2,0,0,7,13
Nitzschia_small,diatom,5,34,29,14,3,0,8,3,6,4,3,4,0,34,90
Nitzschia_sicula,diatom,3,2,2,0,1,0,0,0,0,0,1,0,0,3,0
Odontella,diatom,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Planktoniella,diatom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pleurosigma,diatom,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudo-nitzschia_large,diatom,6,3,19,11,10,13,21,14,6,21,41,3,0,12,7
Pseudo-nitzschia_small,diatom,15,9,11,10,1,3,15,1,5,12,4,2,1,1,14
diatom_spore,diatom,1,3,0,2,0,2,2,1,0,1,3,0,0,0,0
