,Parameter,Cindy,Sierra,Annie
Concentration Factor,metadata,0.166666667,0.15,0.1111
squares counted,metadata,81,171,58
Akashiwo,cell,1,0,0
Alexandrium,cell,1,2,5
Chaetoceros ,cell,45,0,0
ciliate,cell,0,3,1
cochlodinium,cell,0,0,3
Corethron,cell,3,1,0
Coscinodiscus,cell,2,23,0
Cylindrotheca,cell,7,2,3
Delphineis,cell,1,0,0
dictoycha ,cell,0,4,0
dinophysis,cell,0,2,2
gonyaulax,cell,0,1,0
Gymnodinium,cell,14,36,0
Gyrodinium,cell,3,0,26
Linglulodium,cell,0,2,0
odontella,cell,0,0,4
Nitzschia,cell,5,0,0
Noctiluca,cell,2,1,0
pleurosigma,cell,0,0,2
Podolampus,cell,1,0,0
Prorcentrum,cell,9,12,26
Protoperidinium,cell,1,0,1
pseudo-nitschia,cell,0,1,1
Rhizosolenia,cell,1,0,1
Scripsiella,cell,2,10,0
Stephanopyxis,cell,2,0,0
Thalassionema,cell,1,0,0
Thalassiosira,cell,1,0,0
tripos,cell,0,3,11
